,data_peso_predito,idGalpao,nroLote,day,peso_predito,sexo,qtde,mort,km,idIntegrador,granja,nucleo,aviario,qtdInicial,consumo,lucro,custo,custoAlimentar
9,2024-10-07,3820101,84097,40.0,2.3571135998261257,x,41046.0,-55.0,16.8,SSA,382,1,1,43500.0,3.8552584037643878,93247.74606490362,342224.3857029991,1025968.26
9,2024-10-07,3820102,84098,40.0,2.408735210080468,f,42905.0,-33.0,16.8,SSA,382,1,2,44000.0,3.9259705924310953,68226.10277943307,396937.7728530166,501379.4099999999
9,2024-10-07,3820103,84099,40.0,2.701684845038894,m,41173.0,-55.0,16.8,SSA,382,1,3,43000.0,4.318571334091616,90669.0222091162,410006.3298225474,512103.48000000004
9,2024-10-07,3820204,84100,40.0,2.3121263518533266,f,20652.0,-17.0,16.8,SSA,382,2,4,22500.0,3.8355359486882126,24048.28125102661,190874.61916552894,265359.01
9,2024-10-07,3820205,84101,40.0,2.5942630505051545,m,17914.0,-28.0,16.8,SSA,382,2,5,21500.0,4.245324433865127,26373.94645403672,182803.85446462207,263238.14
9,2024-10-07,3820206,84102,41.0,2.3933961024086368,f,42318.0,-37.0,16.8,SSA,382,2,6,44000.0,4.200338511739219,41320.40570986108,414557.6912041798,455849.24
9,2024-10-07,3820208,84104,41.0,2.4121750883932527,f,42523.0,-37.0,16.8,SSA,382,2,8,44000.0,4.199959470137536,45592.98315433628,416087.73554380576,481664.11999999994
9,2024-10-07,1700203,83815,42.0,2.5411837120376273,f,30881.0,-32.0,39.6,SSA,170,2,3,32500.0,4.4249893353017145,34042.10178776167,319170.69645790267,365252.56000000006
9,2024-10-07,3900102,84146,38.0,2.313143377828504,f,31761.0,-23.0,44.4,SSA,390,1,2,33000.0,3.434917120303306,62944.362622084154,267733.96582918917,358195.30000000005
9,2024-10-07,120103,84111,41.0,3.1184387918499965,m,19689.0,-30.0,11.8,SSA,12,1,3,20500.0,4.797917939787593,55018.66474806596,221337.97037061243,251852.01000000004
9,2024-10-07,190101,84076,40.0,2.528682572209082,f,20970.0,-17.0,44.6,SSA,19,1,1,22000.0,4.118180772753093,34118.268499077996,204553.8889009713,267776.82
9,2024-10-07,1700102,83814,42.0,2.6707825060104318,x,19658.0,-38.0,39.6,SSA,170,1,2,21500.0,4.705825322417848,39877.10937328439,196435.4841334076,250233.53999999998
9,2024-10-07,190103,84078,40.0,2.5759727390000604,f,31473.0,-24.0,44.6,SSA,19,1,3,32000.0,4.125586162768556,60346.60852685856,304565.62012862606,370442.24999999994
